date,closing_price,volume,return_1d,return_7d,volume_log,closing_price_outlier
01-01-2025,0.0,5000,,,8.517393171418904,True
02-01-2025,131.04,2000,inf,,7.601402334583733,False
03-01-2025,138.26,2000,0.055097680097680124,,7.601402334583733,False
04-01-2025,164.68,0,0.19108925213366135,,0.0,False
05-01-2025,165.06,5000,0.002307505465144466,,8.517393171418904,False
06-01-2025,137.99,1500,-0.16400096934448072,,7.313886831633462,False
07-01-2025,151.0,5000,0.09428219436191032,,8.517393171418904,False
08-01-2025,0.0,1500,-1.0,,7.313886831633462,True
09-01-2025,190.09,1500,inf,0.4506257631257633,7.313886831633462,False
10-01-2025,135.16,1000,-0.2889683833973381,-0.022421524663677084,6.90875477931522,False
11-01-2025,146.99,5000,0.08752589523527687,-0.10742045178528048,8.517393171418904,False
12-01-2025,120.55,2000,-0.179876182053201,-0.26965951775112085,7.601402334583733,False
13-01-2025,168.97,0,0.40165906262961437,0.22450902239292692,0.0,False
14-01-2025,149.75,1500,-0.11374800260401252,-0.008278145695364225,7.313886831633462,False
15-01-2025,0.0,1000,-1.0,,6.90875477931522,True
16-01-2025,180.33,5000,inf,-0.05134410016308055,8.517393171418904,False
17-01-2025,162.83,1000,-0.09704430765818217,0.20472033145901158,6.90875477931522,False
18-01-2025,147.76,1500,-0.09255051280476578,0.005238451595346527,7.313886831633462,False
19-01-2025,164.34,5000,0.11220898754737418,0.3632517627540439,8.517393171418904,False
20-01-2025,122.91,0,-0.25209930631617383,-0.27259276794697285,0.0,False
21-01-2025,101.11,2000,-0.17736555202994064,-0.3248080133555926,7.601402334583733,False
22-01-2025,0.0,0,-1.0,,0.0,True
23-01-2025,156.71,1000,inf,-0.13098208839350078,6.90875477931522,False
24-01-2025,191.67,1000,0.22308723119137253,0.17711723883805175,6.90875477931522,False
25-01-2025,167.01,2000,-0.1286586320237909,0.1302788305360043,7.601402334583733,False
26-01-2025,193.82,1500,0.16052930962217826,0.17938420348058903,7.313886831633462,False
27-01-2025,116.65,2000,-0.39815292539469604,-0.05093157594988196,7.601402334583733,False
28-01-2025,145.41,2000,0.24654950707243883,0.4381366828206903,7.601402334583733,False
29-01-2025,0.0,2000,-1.0,,7.601402334583733,True
30-01-2025,123.02,1500,inf,-0.21498308978367697,7.313886831633462,False
