timestamp,sensor_id,temperature,humidity,temperature_scaled,humidity_scaled,sensor_id_encoded
01-02-2025 00:00,S2,26.0,43.333333333333336,1.7331852135977095,-0.45923521409111584,1
01-02-2025 01:00,S3,25.5,45.0,1.2955858497874817,0.36376696169940714,2
01-02-2025 02:00,S1,25.0,44.4,0.857986485977254,0.06748617841481774,0
01-02-2025 03:00,S2,24.8,44.4,0.6829467404531635,0.06748617841481774,1
01-02-2025 04:00,S3,23.6,45.4,-0.36729173269138254,0.5612874838891323,2
01-02-2025 05:00,S3,23.6,44.4,-0.36729173269138254,0.06748617841481774,2
01-02-2025 06:00,S2,23.6,43.4,-0.36729173269138254,-0.42631512705949676,1
01-02-2025 07:00,S3,23.4,44.0,-0.5423314782154761,-0.13003434377490736,2
01-02-2025 08:00,S1,23.2,46.0,-0.7173712237395666,0.8575682671737217,0
01-02-2025 09:00,S2,23.0,47.0,-0.8924109692636572,1.3513695726480361,1
01-02-2025 10:00,S1,22.8,46.4,-1.0674507147877477,1.0550887893634469,0
01-02-2025 11:00,S2,22.4,46.4,-1.4175302058359318,1.0550887893634469,1
01-02-2025 12:00,S3,22.8,45.8,-1.0674507147877477,0.7588080060788573,2
01-02-2025 13:00,S1,23.0,45.8,-0.8924109692636572,0.7588080060788573,0
01-02-2025 14:00,S1,24.4,45.8,0.3328672494049794,0.7588080060788573,0
01-02-2025 15:00,S1,24.2,47.4,0.15782750388088893,1.5488900948377613,0
01-02-2025 16:00,S2,24.2,48.4,0.15782750388088893,2.042691400312076,1
01-02-2025 17:00,S2,25.4,48.4,1.208065977025435,2.042691400312076,1
01-02-2025 18:00,S3,25.2,47.4,1.0330262315013445,1.5488900948377613,2
01-02-2025 19:00,S2,23.6,45.4,-0.36729173269138254,0.5612874838891323,1
01-02-2025 20:00,S3,23.6,44.4,-0.36729173269138254,0.06748617841481774,2
01-02-2025 21:00,S1,23.6,42.8,-0.36729173269138254,-0.7225959103440862,0
01-02-2025 22:00,S2,22.0,42.4,-1.7676096968841126,-0.9201164325338113,1
01-02-2025 23:00,S3,22.0,43.4,-1.7676096968841126,-0.42631512705949676,2
02-02-2025 00:00,S3,22.0,44.4,-1.7676096968841126,0.06748617841481774,2
02-02-2025 01:00,S1,22.0,43.4,-1.7676096968841126,-0.42631512705949676,0
02-02-2025 02:00,S3,22.4,45.0,-1.4175302058359318,0.36376696169940714,2
02-02-2025 03:00,S3,22.8,47.0,-1.0674507147877477,1.3513695726480361,2
02-02-2025 04:00,S2,22.8,45.0,-1.0674507147877477,0.36376696169940714,1
02-02-2025 05:00,S1,24.4,44.0,0.3328672494049794,-0.13003434377490736,0
02-02-2025 06:00,S1,24.6,44.0,0.507906994929073,-0.13003434377490736,0
02-02-2025 07:00,S2,24.6,42.4,0.507906994929073,-0.9201164325338113,1
02-02-2025 08:00,S3,24.4,40.4,0.3328672494049794,-1.9077190434824403,2
02-02-2025 09:00,S3,26.0,40.4,1.7331852135977095,-1.9077190434824403,2
02-02-2025 10:00,S1,24.6,40.4,0.507906994929073,-1.9077190434824403,0
02-02-2025 11:00,S2,24.6,40.4,0.507906994929073,-1.9077190434824403,1
02-02-2025 12:00,S3,24.4,40.4,0.3328672494049794,-1.9077190434824403,2
02-02-2025 13:00,S1,25.8,42.4,1.558145468073619,-0.9201164325338113,0
02-02-2025 14:00,S3,24.4,44.4,0.3328672494049794,0.06748617841481774,2
02-02-2025 15:00,S2,24.4,44.4,0.3328672494049794,0.06748617841481774,1
02-02-2025 16:00,S1,24.2,45.4,0.15782750388088893,0.5612874838891323,0
02-02-2025 17:00,S1,24.2,46.0,0.15782750388088893,0.8575682671737217,0
02-02-2025 18:00,S1,22.6,45.0,-1.242490460311838,0.36376696169940714,0
02-02-2025 19:00,S2,24.0,43.4,-0.017212241643201565,-0.42631512705949676,1
02-02-2025 20:00,S2,24.0,43.4,-0.017212241643201565,-0.42631512705949676,1
02-02-2025 21:00,S3,25.6,42.4,1.3831057225495287,-0.9201164325338113,2
02-02-2025 22:00,S1,25.4,43.4,1.208065977025435,-0.42631512705949676,0
02-02-2025 23:00,S1,25.8,42.4,1.558145468073619,-0.9201164325338113,0
03-02-2025 00:00,S3,24.75,42.5,0.6391868040721401,-0.8707363019863791,2
03-02-2025 01:00,S2,25.333333333333332,43.333333333333336,1.1497193951840714,-0.45923521409111584,1
